"","Catalog.Number","Fish.ID","Family.Species","lat","long","Year.Collected"
"448","NHMLA 9442-20","NHMLA 9442-20_01","Embiotoca lateralis",47.319741,-122.548023,1964
"449","NHMLA 9442-20","NHMLA 9442-20_02","Embiotoca lateralis",47.319741,-122.548023,1964
"450","UW 042739","UW 042739_01","Embiotoca lateralis",47.58291,-122.4509,1975
"451","UW 042739","UW 042739_02","Embiotoca lateralis",47.58291,-122.4509,1975
"452","UW 042738","UW 042738_01","Embiotoca lateralis",47.58291,-122.4509,1975
"453","UW 042738","UW 042738_02","Embiotoca lateralis",47.58291,-122.4509,1975
"454","UW 042738","UW 042738_03","Embiotoca lateralis",47.58291,-122.4509,1975
"455","UW 042748","UW 042748_01","Embiotoca lateralis",47.450564,-122.385545,1975
"456","UW 042748","UW 042748_02","Embiotoca lateralis",47.450564,-122.385545,1975
"457","UW 042748","UW 042748_03","Embiotoca lateralis",47.450564,-122.385545,1975
"458","UW 042748","UW 042748_04","Embiotoca lateralis",47.450564,-122.385545,1975
"459","MCZ 58890","MCZ 58890_01","Embiotoca lateralis",47.661882,-122.437203,1978
"460","UW 022023","UW 022023","Embiotoca lateralis",47.58291,-122.4509,1979
"461","UW 028912","UW 028912_01","Embiotoca lateralis",48.04189,-122.5249,1979
"462","UW 110066","UW 110066_01","Embiotoca lateralis",47.7833,-122.6,1982
"463","MCZ 61370","MCZ 61370_01","Embiotoca lateralis",48.571025,-123.167,1984
"464","NHMLA 47271-2","NHMLA 47271-2_01","Embiotoca lateralis",47.727753,-122.527903,1985
"465","NHMLA 47271-2","NHMLA 47271-2_02","Embiotoca lateralis",47.727753,-122.527903,1985
"466","UW 041849","UW 041849_01","Embiotoca lateralis",47.946554,-122.31285,1987
"467","UW 041849","UW 041849_02","Embiotoca lateralis",47.946554,-122.31285,1987
"468","UW 041849","UW 041849_03","Embiotoca lateralis",47.946554,-122.31285,1987
"469","UW 041849","UW 041849_04","Embiotoca lateralis",47.946554,-122.31285,1987
"470","UW 041849","UW 041849_05","Embiotoca lateralis",47.946554,-122.31285,1987
"471","UW 041849","UW 041849_06","Embiotoca lateralis",47.946554,-122.31285,1987
"472","UW 110329","UW 110329_01","Embiotoca lateralis",48.039264,-122.8514,1992
"473","UW 110329","UW 110329_02","Embiotoca lateralis",48.039264,-122.8514,1992
"474","UW 110329","UW 110329_03","Embiotoca lateralis",48.039264,-122.8514,1992
"475","MCZ 145479","MCZ 145479_01","Embiotoca lateralis",48.520171,-123.008475,1995
"476","UT 104.14","UT 104.14_01","Embiotoca lateralis",47.28999,-122.832747,1996
"477","UW 113149","UW 113149_01","Embiotoca lateralis",48.52,-123.0097,2003
"478","UW 113149","UW 113149_02","Embiotoca lateralis",48.52,-123.0097,2003
"479","UW 047630","UW 047630","Embiotoca lateralis",47.6569,-122.705,2003
"480","UW 113233","UW 113233","Embiotoca lateralis",48.1231,-122.4378,2005
"481","UW 153589","UW 153589_01","Embiotoca lateralis",48.54748,-122.9941,2005
"482","UW 153589","UW 153589_02","Embiotoca lateralis",48.54748,-122.9941,2005
"483","UW 153589","UW 153589_04","Embiotoca lateralis",48.54748,-122.9941,2005
"484","UW 155041","UW 155041_02","Embiotoca lateralis",48.52,-123.0097,2014
"485","UW 155041","UW 155041_03","Embiotoca lateralis",48.52,-123.0097,2014
"486","UW 155041","UW 155041_04","Embiotoca lateralis",48.52,-123.0097,2014
"487","UW 155041","UW 155041_100","Embiotoca lateralis",48.52,-123.0097,2014
"488","UW 004693","UW 004693_01","Hydrolagus colliei",47.70962,-122.4065,1938
"489","UW 004789","UW 004789_01","Hydrolagus colliei",47.7623916,-122.39125,1940
"490","UW 008556","UW 008556_01","Hydrolagus colliei",47.69277,-122.4204,1949
"491","UW 008553","UW 008553_01","Hydrolagus colliei",47.1413,-122.7658,1949
"492","UW 008567","UW 008567_01","Hydrolagus colliei",47.1413,-122.7658,1949
"493","UW 005749","UW 005749_01","Hydrolagus colliei",48.4762518,-122.83455,1949
"494","CUMV 37166","CUMV 37166_01","Hydrolagus colliei",47.60666,-122.36494,1950
"495","KU 20259","KU 20259_01","Hydrolagus colliei",48.58060837,-122.6798859,1951
"496","UW 014977","UW 014977_01","Hydrolagus colliei",47.1413,-122.7658,1951
"497","TU 6591","TU 6591_01","Hydrolagus colliei",NA,NA,1951
"498","UW 008562","UW 008562_01","Hydrolagus colliei",48.50043198,-122.8562833,1951
"499","CUMV 37165","CUMV 37165_01","Hydrolagus colliei",47.5463,-122.6472,1952
"500","UF 52256","UF 52256_01","Hydrolagus colliei",48.083333,-122.866667,1953
"501","UF 52256","UF 52256_02","Hydrolagus colliei",48.083333,-122.866667,1953
"502","KU 5894","KU 5894_01","Hydrolagus colliei",48.4525528,-122.9552383,1960
"503","TU 85530","TU 85530_01","Hydrolagus colliei",48.48333,-122.85,1961
"504","SIO 15-473","SIO 15-473_01","Hydrolagus colliei",48.247,-122.546,1963
"505","SIO 15-473","SIO 15-473_02","Hydrolagus colliei",48.247,-122.546,1963
"506","SIO 15-473","SIO 15-473_03","Hydrolagus colliei",48.247,-122.546,1963
"507","UW 017145","UW 017145_01","Hydrolagus colliei",47.7007,-122.4243,1964
"508","UW 19634","UW 19634_02","Hydrolagus colliei",47.66411,-122.4601,1967
"509","UW 19634","UW 19634_01","Hydrolagus colliei",47.66411,-122.4601,1967
"510","UW 19634","UW 19634_03","Hydrolagus colliei",47.66411,-122.4601,1967
"511","UT 81968","UT 81968_03","Hydrolagus colliei",48.52100761,-123.0123919,1969
"512","UT 81968","UT 81968_01","Hydrolagus colliei",48.52100761,-123.0123919,1969
"513","UT 81968","UT 81968_02","Hydrolagus colliei",48.52100761,-123.0123919,1969
"514","SIO 87-91","SIO 87-91_03","Hydrolagus colliei",48.5333333,-123.0166667,1978
"515","SIO 87-91","SIO 87-91_01","Hydrolagus colliei",48.5333333,-123.0166667,1978
"516","SIO 87-91","SIO 87-91_02","Hydrolagus colliei",48.5333333,-123.0166667,1978
"517","FMNH 117180","FMNH 117180_01","Hydrolagus colliei",NA,NA,1979
"518","FMNH 117180","FMNH 117180_02","Hydrolagus colliei",NA,NA,1979
"519","UW 110112","UW 110112_01","Hydrolagus colliei",47.41264009,-122.4347749,1982
"520","UW 110112","UW 110112_02","Hydrolagus colliei",47.41264009,-122.4347749,1982
"521","UW 026181","UW 026181_01","Hydrolagus colliei",47.7007,-122.4243,1983
"522","UF 46827","UF 46827_01","Hydrolagus colliei",47.6042,-122.43058,1986
"523","UF  46827","UF 46827_02","Hydrolagus colliei",47.784539,-122.437132,1986
"524","UF  46827","UF 46827_03","Hydrolagus colliei",47.784539,-122.437132,1986
"525","ANSP 177862","ANSP 177862_01","Hydrolagus colliei",48.54748,-122.9941,1993
"526","UW 017872","UW 017872_01","Hydrolagus colliei",48.419029,-122.861886,1993
"527","UW 017872","UW 017872_04","Hydrolagus colliei",48.419029,-122.861886,1993
"528","UW 017872","UW 017872_05","Hydrolagus colliei",48.419029,-122.861886,1993
"529","UW 017872","UW 017872_02","Hydrolagus colliei",48.419029,-122.861886,1993
"530","UW 017872","UW 017872_03","Hydrolagus colliei",48.419029,-122.861886,1993
"531","UW 047649","UW 047649","Hydrolagus colliei",47.7003,-122.4831,2003
"532","UW 157247","UW 157247_2","Hydrolagus colliei",48.0452,-122.3027,2017
"533","UW 157247","UW 157247_3","Hydrolagus colliei",48.0452,-122.3027,2017
"534","UW 002887","UW 002887_02","Theragra chalcogramma",48.6835305,-123.00257,1906
"535","UW 002887","UW 002887_03","Theragra chalcogramma",48.6835305,-123.00257,1906
"536","UW 002887","UW 002887_04","Theragra chalcogramma",48.6835305,-123.00257,1906
"537","UW 002887","UW 002887_05","Theragra chalcogramma",48.6835305,-123.00257,1906
"538","UW 000686","UW 000686_01","Theragra chalcogramma",48.55153646,-122.9201616,1929
"539","UW 000686","UW 000686_02","Theragra chalcogramma",48.55153646,-122.9201616,1929
"540","UW 002220","UW 002220_01","Theragra chalcogramma",48.55153646,-122.9201616,1932
"541","UW 002220","UW 002220_02","Theragra chalcogramma",48.55153646,-122.9201616,1932
"542","UW 002282","UW 002282_01","Theragra chalcogramma",48.6330603,-122.87028,1932
"543","UW 002282","UW 002282_02","Theragra chalcogramma",48.6330603,-122.87028,1932
"544","UW 002282","UW 002282_03","Theragra chalcogramma",48.6330603,-122.87028,1932
"545","UW 002282","UW 002282_04","Theragra chalcogramma",48.6330603,-122.87028,1932
"546","UW 002535","UW 002535_01","Theragra chalcogramma",48.171236,-122.54911,1932
"547","UW 002535","UW 002535_02","Theragra chalcogramma",48.171236,-122.54911,1932
"548","UW 002566","UW 002566_01","Theragra chalcogramma",48.0203851,-122.32145,1932
"549","UW 002667","UW 002667_01","Theragra chalcogramma",48.0182854,-122.32946,1933
"550","UW 002667","UW 002667_02","Theragra chalcogramma",48.0182854,-122.32946,1933
"551","UW 002667","UW 002667_03","Theragra chalcogramma",48.0182854,-122.32946,1933
"552","UW 002667","UW 002667_04","Theragra chalcogramma",48.0182854,-122.32946,1933
"553","UW 004511","UW 004511_01","Theragra chalcogramma",47.8606,-122.5025,1937
"554","UW 004713","UW 004713_01","Theragra chalcogramma",47.7623916,-122.39125,1940
"555","UW 005697","UW 005697_01","Theragra chalcogramma",48.4762518,-122.83455,1949
"556","UW 005697","UW 005697_02","Theragra chalcogramma",48.4762518,-122.83455,1949
"557","UW 005697","UW 005697_03","Theragra chalcogramma",48.4762518,-122.83455,1949
"558","UW 005697","UW 005697_04","Theragra chalcogramma",48.4762518,-122.83455,1949
"559","UW 005732","UW 005732_01","Theragra chalcogramma",47.69277,-122.4204,1949
"560","UW 005732","UW 005732_02","Theragra chalcogramma",47.69277,-122.4204,1949
"561","UW 005758","UW 005758_01","Theragra chalcogramma",48.6548115,-122.88891,1949
"562","UW 005758","UW 005758_02","Theragra chalcogramma",48.6548115,-122.88891,1949
"563","UW 006042","UW 006042_02","Theragra chalcogramma",48.60624741,-122.59668,1949
"564","UW 005761","UW 005761_01","Theragra chalcogramma",48.6548115,-122.88891,1949
"565","UW 005779","UW 005779_01","Theragra chalcogramma",47.4166372,-123.13875,1949
"566","UW 005779","UW 005779_02","Theragra chalcogramma",47.4166372,-123.13875,1949
"567","UW 006042","UW 006042_01","Theragra chalcogramma",48.60624741,-122.59668,1949
"568","UW 008377","UW 008377_01","Theragra chalcogramma",47.69277,-122.4204,1951
"569","UW 015341","UW 015341_01","Theragra chalcogramma",48.54748,-122.9941,1953
"570","UW 015341","UW 015341_02","Theragra chalcogramma",48.54748,-122.9941,1953
"571","UW 045001","UW 045001_01","Theragra chalcogramma",48.54457358,-123.0127046,1953
"572","UW 017025","UW 017025_01","Theragra chalcogramma",48.16060856,-122.7242108,1957
"573","UW 017119","UW 017119_01","Theragra chalcogramma",47.5463,-122.6472,1964
"574","UW 017150","UW 017150_01","Theragra chalcogramma",47.6953133,-122.40843,1964
"575","UW 017150","UW 017150_02","Theragra chalcogramma",47.6953133,-122.40843,1964
"576","UW 029073","UW 029073_06","Theragra chalcogramma",48.54748,-122.9941,1979
"577","UW 029073","UW 029073_07","Theragra chalcogramma",48.54748,-122.9941,1979
"578","UW 029073","UW 029073_08","Theragra chalcogramma",48.54748,-122.9941,1979
"579","UW 029073","UW 029073_09","Theragra chalcogramma",48.54748,-122.9941,1979
"580","UW 029073","UW 029073_10","Theragra chalcogramma",48.54748,-122.9941,1979
"581","UW 029073","UW 029073_11","Theragra chalcogramma",48.54748,-122.9941,1979
"582","UW 029073","UW 029073_12","Theragra chalcogramma",48.54748,-122.9941,1979
"583","UW 029073","UW 029073_01","Theragra chalcogramma",48.54748,-122.9941,1979
"584","UW 029073","UW 029073_02","Theragra chalcogramma",48.54748,-122.9941,1979
"585","UW 029073","UW 029073_03","Theragra chalcogramma",48.54748,-122.9941,1979
"586","UW 029073","UW 029073_04","Theragra chalcogramma",48.54748,-122.9941,1979
"587","UW 029073","UW 029073_05","Theragra chalcogramma",48.54748,-122.9941,1979
"588","UW 110122","UW 110122_01","Theragra chalcogramma",47.45056435,-122.3855452,1982
"589","UW 110122","UW 110122_02","Theragra chalcogramma",47.45056435,-122.3855452,1982
"590","UW 029064","UW 029064_01","Theragra chalcogramma",47.6953133,-122.40843,1983
"591","UW 029064","UW 029064_02","Theragra chalcogramma",47.6953133,-122.40843,1983
"592","UW 117905","UW 117905_01","Theragra chalcogramma",47.1413,-122.7658,1990
"593","UW 117905","UW 117905_02","Theragra chalcogramma",47.1413,-122.7658,1990
"594","UW 111763","UW 111763_01","Theragra chalcogramma",47.8606,-122.5025,1991
"595","UW 111763","UW 111763_03","Theragra chalcogramma",47.8606,-122.5025,1991
"596","UW 111763","UW 111763_04","Theragra chalcogramma",47.8606,-122.5025,1991
"597","UW 111763","UW 111763_05","Theragra chalcogramma",47.8606,-122.5025,1991
"598","UW 110606","UW 110606_01","Theragra chalcogramma",48.54748,-122.9941,1993
"599","UW 110606","UW 110606_02","Theragra chalcogramma",48.54748,-122.9941,1993
"600","UW 110606","UW 110606_03","Theragra chalcogramma",48.54748,-122.9941,1993
"601","UW 110606","UW 110606_04","Theragra chalcogramma",48.54748,-122.9941,1993
"602","UW 110606","UW 110606_05","Theragra chalcogramma",48.54748,-122.9941,1993
"603","UW 110606","UW 110606_06","Theragra chalcogramma",48.54748,-122.9941,1993
"604","UW 110606","UW 110606_07","Theragra chalcogramma",48.54748,-122.9941,1993
"605","UW 110606","UW 110606_08","Theragra chalcogramma",48.54748,-122.9941,1993
"606","UW 152946","UW 152946_05","Theragra chalcogramma",48.5758,-122.8867,2007
"607","UW 152946","UW 152946_06","Theragra chalcogramma",48.5758,-122.8867,2007
"608","UW 152946","UW 152946_07","Theragra chalcogramma",48.5758,-122.8867,2007
"609","UW 152946","UW 152946_08","Theragra chalcogramma",48.5758,-122.8867,2007
"610","UW 152946","UW 152946_09","Theragra chalcogramma",48.5758,-122.8867,2007
"611","UW 152946","UW 152946_10","Theragra chalcogramma",48.5758,-122.8867,2007
"612","UW 152946","UW 152946_11","Theragra chalcogramma",48.5758,-122.8867,2007
"613","UW 152946","UW 152946_12","Theragra chalcogramma",48.5758,-122.8867,2007
"614","UW 152946","UW 152946_04","Theragra chalcogramma",48.5758,-122.8867,2007
"615","UW 152946","UW 152946_13","Theragra chalcogramma",48.5758,-122.8867,2007
"616","UW 152946","UW 152946_14","Theragra chalcogramma",48.5758,-122.8867,2007
"617","UW 152919","UW 152919_03","Theragra chalcogramma",48.5765,-123.0488,2009
"618","UW 151784","UW 151784_03","Theragra chalcogramma",48.5758,-123.0458,2011
"619","UW 151784","UW 151784_06","Theragra chalcogramma",48.5758,-123.0458,2011
"620","UW 153264","UW 153264_03","Theragra chalcogramma",48.5727,-123.043,2013
"621","UW 153264","UW 153264_07","Theragra chalcogramma",48.5727,-123.043,2013
"622","UW 155505","UW 155505_06","Theragra chalcogramma",48.5706,-123.0425,2014
"623","UW 155505","UW 155505_07","Theragra chalcogramma",48.5706,-123.0425,2014
"624","UW 155970","UW 155970_02","Theragra chalcogramma",48.589,-123.043,2015
"625","UW 155970","UW 155970_04","Theragra chalcogramma",48.589,-123.043,2015
"626","UW 156502","UW 156502_02","Theragra chalcogramma",48.5827,-123.0543,2016
"627","UW 156502","UW 156502_03","Theragra chalcogramma",48.5827,-123.0543,2016
"628","UW 157429","UW 157429_03","Theragra chalcogramma",48.577,-123.0465,2017
"629","UW 157429","UW 157429_06","Theragra chalcogramma",48.577,-123.0465,2017
"630","UW 158627","UW 158627_01","Theragra chalcogramma",48.5815,-123.0546,2018
"631","UW 158627","UW 158627_03","Theragra chalcogramma",48.5815,-123.0546,2018
"632","UW 002567","UW 002567_01","Merluccius productus",48.020385,-122.32145,1932
"633","UW 015334","UW 015334_01","Merluccius productus",47.784539,-122.437132,1932
"634","UW 015334","UW 015334_02","Merluccius productus",47.784539,-122.437132,1932
"635","UW 002668","UW 002668_01","Merluccius productus",48.018285,-122.32946,1933
"636","UW 002668","UW 002668_02","Merluccius productus",48.018285,-122.32946,1933
"637","UW 002668","UW 002668_03","Merluccius productus",48.018285,-122.32946,1933
"638","UW 002668","UW 002668_04","Merluccius productus",48.018285,-122.32946,1933
"639","UW 002668","UW 002668_05","Merluccius productus",48.018285,-122.32946,1933
"640","UW 002668","UW 002668_06","Merluccius productus",48.018285,-122.32946,1933
"641","UW 002668","UW 002668_07","Merluccius productus",48.018285,-122.32946,1933
"642","UW 002668","UW 002668_08","Merluccius productus",48.018285,-122.32946,1933
"643","UW 002668","UW 002668_09","Merluccius productus",48.018285,-122.32946,1933
"644","UW 003955","UW 003955_01","Merluccius productus",47.416637,-123.138751,1936
"645","UW 003955","UW 003955_02","Merluccius productus",47.416637,-123.138751,1936
"646","UW 005211","UW 005211_01","Merluccius productus",48.163077,-122.54076,1941
"647","UW 005659","UW 005659_01","Merluccius productus",47.364885,-122.66367,1949
"648","UW 005659","UW 005659_02","Merluccius productus",47.364885,-122.66367,1949
"649","UW 007628","UW 007628_01","Merluccius productus",47.780019,-122.47313,1951
"650","UW 019134","UW 019134_01","Merluccius productus",48.080323,-122.532919,1966
"651","UW 019134","UW 019134_02","Merluccius productus",48.080323,-122.532919,1966
"652","UW 019134","UW 019134_03","Merluccius productus",48.080323,-122.532919,1966
"653","UW 019134","UW 019134_04","Merluccius productus",48.080323,-122.532919,1966
"654","UW 019134","UW 019134_05","Merluccius productus",48.080323,-122.532919,1966
"655","UW 019134","UW 019134_06","Merluccius productus",48.080323,-122.532919,1966
"656","UW 019134","UW 019134_07","Merluccius productus",48.080323,-122.532919,1966
"657","UW 019134","UW 019134_08","Merluccius productus",48.080323,-122.532919,1966
"658","UW 019134","UW 019134_09","Merluccius productus",48.080323,-122.532919,1966
"659","UW 028785","UW 028785_01","Merluccius productus",48.853361,-122.83557,1975
"660","UW 028785","UW 028785_02","Merluccius productus",48.853361,-122.83557,1975
"661","UW 045123","UW 045123_01","Merluccius productus",47.75,-122.8333,1985
"662","UW 045123","UW 045123_02","Merluccius productus",47.75,-122.8333,1985
"663","UW 045123","UW 045123_03","Merluccius productus",47.75,-122.8333,1985
"664","UW 045123","UW 045123_04","Merluccius productus",47.75,-122.8333,1985
"665","UW 045123","UW 045123_05","Merluccius productus",47.75,-122.8333,1985
"666","UW 045241","UW 045241_01","Merluccius productus",47.8,-122.8,1986
"667","UW 045241","UW 045241_02","Merluccius productus",47.8,-122.8,1986
"668","UW 045241","UW 045241_03","Merluccius productus",47.8,-122.8,1986
"669","UW 045377","UW 045377_01","Merluccius productus",47.75,-122.8333,1986
"670","UW 045377","UW 045377_02","Merluccius productus",47.75,-122.8333,1986
"671","UW 045422","UW 045422_03","Merluccius productus",47.75,-122.8333,1987
"672","UW 045422","UW 045422_01","Merluccius productus",47.75,-122.8333,1987
"673","UW 045422","UW 045422_02","Merluccius productus",47.75,-122.8333,1987
"674","UW 045422","UW 045422_04","Merluccius productus",47.75,-122.8333,1987
"675","UW 117903","UW 117903_01","Merluccius productus",47.736017,-122.53089,1990
"676","UW 117903","UW 117903_02","Merluccius productus",47.736017,-122.53089,1990
"677","UW 117903","UW 117903_03","Merluccius productus",47.736017,-122.53089,1990
"678","UW 112204","UW 112204_04","Merluccius productus",48.161345,-122.722356,1991
"679","UW 110758","UW 110758_01","Merluccius productus",47.3772,-123.0878,1991
"680","UW 110758","UW 110758_02","Merluccius productus",47.3772,-123.0878,1991
"681","UW 110758","UW 110758_03","Merluccius productus",47.3772,-123.0878,1991
"682","UW 110758","UW 110758_04","Merluccius productus",47.3772,-123.0878,1991
"683","UW 110758","UW 110758_05","Merluccius productus",47.3772,-123.0878,1991
"684","UW 110758","UW 110758_06","Merluccius productus",47.3772,-123.0878,1991
"685","UW 110758","UW 110758_07","Merluccius productus",47.3772,-123.0878,1991
"686","UW 110766","UW 110766_01","Merluccius productus",47.9731,-122.5028,1991
"687","UW 110364","UW 110364_01","Merluccius productus",48.04189,-122.5249,1992
"688","UW 110364","UW 110364_02","Merluccius productus",48.04189,-122.5249,1992
"689","UW 156371","UW 156371_13","Merluccius productus",48.0511,-122.3839,2016
"690","UW 156371","UW 156371_01","Merluccius productus",48.0511,-122.3839,2016
"691","UW 156371","UW 156371_02","Merluccius productus",48.0511,-122.3839,2016
"692","UW 156371","UW 156371_03","Merluccius productus",48.0511,-122.3839,2016
"693","UW 156371","UW 156371_04","Merluccius productus",48.0511,-122.3839,2016
"694","UW 156371","UW 156371_05","Merluccius productus",48.0511,-122.3839,2016
"695","UW 156371","UW 156371_06","Merluccius productus",48.0511,-122.3839,2016
"696","UW 156371","UW 156371_09","Merluccius productus",48.0511,-122.3839,2016
"697","UW 156371","UW 156371_10","Merluccius productus",48.0511,-122.3839,2016
"698","UW 156371","UW 156371_11","Merluccius productus",48.0511,-122.3839,2016
"699","UW 156371","UW 156371_12","Merluccius productus",48.0511,-122.3839,2016
